Nombre,Descripción,Tipo de Dato
ID_USUARIO,Identificador único del usuario que realizó la cotización.,Integer
PRECIO_VENTA,Valor al que finalmente se vende el bien.,Decimal
APLICA_PRECIO_ADICIONAL,Indica si se aplica o no un adicional en la cotización.,Boolean
PRECIO_LISTA,Valor lista del bien cotizado.,Decimal
ID_COTIZACION,Identificador único de la cotización.,Integer
PRECIO_IVA,Valor IVA cargado al bien.,Decimal
ID_BIEN,Identificador único del bien cotizado.,Integer
PRECIO_ADICIONAL,Valor de adicional aplicado a la cotización.,Decimal
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
APLICA_PRECIO_IVA,Indica si el valor IVA se aplicó o no en la cotización.,Boolean
ID_COTIZ_ITEM,Identificador único del ítem cotización.,Integer
